Season,Division 1,Division 2,Division 3,Division 4,Division 5,Top 100 Cup,Top 100 Shield,Youth Cup,Youth Shield,World Club Cup,World Club Shield,Charity Shield,Division 2 Play-off,Division 3 Play-off,Division 4 Play-off,Division 5 Play-off,SMFA Super Cup,SMFA Champions Cup,SMFA Shield,Youth Spoon,World Cup
1,Manchester United,Fenerbahçe SK,Sunderland,Beşiktaş JK,Dnipro Dnipropetrovsk,Tottenham Hotspur,Real Madrid,Atletico Madrid,,,,,FC Porto,Boca Juniors,Girondins Bordeaux,River Plate,,Bayern,Chelsea,,
2,Barcelona,Borussia Dortmund,Ajax,Southampton,Villarreal CF,Bayern Munich ,Stuttgart,Juventus,,Real Madrid,,Manchester United,Paris Saint-Germain,Shakhtar Donetsk,Udinese Calcio,São Paulo FC,Bayern,Manchester United,Chelsea,,Colombia
3,Barcelona,Tottenham Hotspur,Aston Villa,Villarreal CF,Olympiacos,Real Madrid,FC Porto,Leverkusen,,Napoli,,Barcelona,Zenit Saint Petersburg,Southampton,Stuttgart,Dinamo Zagreb,Chelsea,Real Madrid,Valencia CF,,Spain
4,Bayern Munich ,Everton,Sporting CP,Hellas Verona,Dynamo Moskva,Liverpool,Bayern Munich ,Chelsea,,Bayern Munich,,Barcelona,Ajax,Sunderland,Sampdoria,Celtic,Real Madrid,Bayern,SS Lazio,,Italy
5,Bayern Munich ,Villarreal CF,CSKA Moskva,Celtic,Hertha BSC,Juventus,Juventus,Valencia,,Chelsea,,Bayern Munich ,Sunderland,Sassuolo,AZ Alkmaar,Levante UD,SS Lazio,Bayern,Paris Saint-Germain,,Portugal
6,Barcelona,Monchengladbach,Hoffenheim,Hertha BSC,AS Monaco,FC Porto,Juventus,Bayern Munich,Sevilla,Bayern Munich,,Juventus,Schalke,Sevilla,Boca Juniors,RCD Espanyol,Paris Saint-Germain,Bayern,SSC Napoli,,England
7,Barcelona,SC Internacional,Hertha BSC,Standard Liège,Celta Vigo,Bayern Munich ,Juventus,Juventus,Bayern Munich ,Real Madrid,Sevilla,Barcelona,Sevilla,Galatasaray SK,Hellas Verona,FC Basel,Bayern,Bayern,Atlético Madrid,Lazio,Germany
8,Bayern Munich ,Ajax,Standard Liege,FC Basel,Werder Bremen,FK Partizan,Villarreal CF,Manchester City,SL Benfica,,,Barcelona,SL Benfica,CSKA Moskva,RCD Espanyol,Club Brugge KV,Bayern,Bayern,Manchester United,,Italy
9,Barcelona,AC Milan,AS Monaco,Celta Vigo,River Plate,SL Benfica,Newcastle United,Flamengo,Bayern Munich,,,Bayern Munich ,Internazionale,Southampton,Montpellier HSC,VfB Stuttgart,Bayern,Juventus,Borussia Dortmund,,Portugal
10,Barcelona,Borussia Dortmund,Hertha BSC,1. FC Köln,FC Twente,Juventus,Atletico Madrid,Sassuolo,Juventus,Barcelona,Partizan,Barcelona,FC Schalke 04,Montpellier HSC,Spartak Moskva,Rubin Kazan,Borussia Dortmund,Barcelona,Real Madrid,,Brazil
11,Barcelona,SC Internacional,Levante UD,Aston Villa,Sporting CP,Hellas Verona,Valencia,Genoa,Anderlecht,Paris Saint-Germain,Anderlecht,Juventus,Valencia CF,Stoke City,Club Brugge KV,West Bromwich Albion,Barcelona,Liverpool,AS Roma,,Netherlands
12,Barcelona,Hellas Verona,Everton,Olympique Marseille,Atalanta BC,Bayern Munich ,Standard Liege,Manchester City,,Hertha Berlin,Monchengladbach,Barcelona,Hertha Berlin,Monchengladbach,Celtic,Werder Bremen,AS Roma,Barcelona,Real Madrid,,Brazil
13,Chelsea,Arsenal,CSKA Moskva,Werder Bremen,Dinamo Zagreb,Dnipro Dnipropetrovsk,FC Porto,Genoa,Hamburger SV,Real Madrid,Malaga,Barcelona,Manchester City,SS Lazio,Santos FC,Beşiktaş JK,Real Madrid,Paris Saint-Germain,Real Madrid,,Germany
14,Chelsea,Paris Saint-Germain,Dynamo Kyiv,Dinamo Zagreb,Feyenoord,FC Porto,Real Madrid,Juventus,SL Benfica,Chelsea,FC Augsburg,Chelsea,AC Milan,Werder Bremen,West Bromwhich Albion,Crystal Palace,Real Madrid,Real Madrid,Hertha Berlin,,Spain
15,Barcelona,Hellas Verona,Aston Villa,FK Partizan,Bordeaux,Flamengo,Real Madrid,Manchester City,Leicester City,Arsenal,FC Augsburg,FC Porto,Stoke City,Manchester United,Feyenoord,Sampdoria,Real Madrid,Barcelona,Arsenal,,France
16,Barcelona,Werder Bremen,FC Augsburg,VfL Wolfsburg,Cruzeiro,Celta Vigo,Arsenal,Arsenal ,FC Augsburg,Barcelona,Chelsea,Barcelona,SC Internacional ,Sporting CP,Sampdoria,Sunderland,Barcelona,Barcelona,Arsenal,,Brazil
17,Chelsea,Aston Villa,West Bromwich Albion,Swansea City,1. FC Köln,Bayern Munich,Hellas Verona,Levante,Arsenal,Real Madrid,Chelsea,Barcelona,Everton,Hoffenheim,Leicester City,Internazionale,Arsenal,Barcelona,RCD Espanyol,,England
18,Arsenal,West Bromwich Albion,VfL Wolfsburg,São Paulo FC,AZ Alkmaar,Hellas Verona,Atletico Madrid,Benfica,Hertha Berlin,Arsenal,Hellas Verona,Bayern Munich ,TSG 1899 Hoffenheim,River Plate,Internazionale,Lokomotiv Moskva,Barcelona,Barcelona,Borussia Dortmund,,Brazil
19,Chelsea,Leicester City,Sporting CP,FC Twente,ACF Fiorentina,Celta Vigo,Bayern Munich ,Levante,Lazio,Arsenal,FC Augsburg,Hellas Verona,RCD Espanyol,Manchester United,Sunderland,AS Saint-Etienne,Barcelona ,Arsenal,Manchester City,,England
20,Hellas Verona,Bayer Leverkusen,Levante UD,1. FC Köln,Atalanta BC,FC Porto,AC Milan,Levante,1. FC Köln,AC Milan,Barcelona,Chelsea,Real Madrid,Celtic,US Sassuolo,Sevilla,Arsenal,Barcelona,Hellas Verona,,Germany
21,Chelsea,São Paulo FC,1. FC Köln,Flamengo,Santos,AC Milan,Independiente,Levante,AC Milan,Barcelona,São Paulo FC,FC Porto,Fenerbahçe SK,River Plate,Dnipro Dnipropetrovsk,Club Brugge KV,Hellas Verona,Hellas Verona,SL Benfica,,England
22,Hellas Verona,Manchester City,Swansea City,Club Brugge KV,Shakhtar Donetsk,Flamengo,Hellas Verona,Levante,Leicester City,Barcelona,Liverpool,AC Milan,Hertha Berlin,Hamburger SV,Lille OSC,FC Basel,Hellas Verona,Chelsea,Bayern,,England
23,Hellas Verona,Internazionale,Malaga,Galatasaray,FC Augsburg ,Hellas Verona,Bayern Munich ,Leicester City ,Atletico Madrid ,Borussia Dortmund ,Stoke City,Hellas Verona,1. FC Köln,Sampdoria,FC Basel,Atalanta BC,Bayern,São Paulo FC,Barcelona ,,England 
24,Hellas Verona,Aston Villa ,Standard Liege ,Zenit Saint Petersburg ,Besiktas ,Hertha Berlin,Juventus ,Leicester City,Flamengo,FC Porto,Juventus ,Borussia Dortmund ,Tottenham Hotspur ,Udinese Calcio,AS Saint-Etienne ,Olympiacos,Barcelona ,Porto,Chelsea,,Argentina 
25,Hellas Verona,Hamburger SV,CSKA Moskva,Boca Juniors,FK Partizan,AC Milan,FC Porto,Barcelona ,CSKA Moskva,Barcelona,,Hellas Verona,Málaga ,Everton,VfL Wolfsburg,Newcastle United ,Chelsea,Hellas Verona ,Bayern,,
26,FC Porto,Sporting CP,VfL Wolfsburg,FC Basel,SSC Napoli,Juventus,Málaga CF,RCD Espanyol,Atletico Madrid ,Leicester City,Sao Paulo,AC Milan,Bayer Leverkusen,CR Flamengo,FK Partizan,Chievo Verona,Bayern Munich ,Hellas Verona,FC Porto,,France
