Season,Division 1,Division 2,Division 3,Division 4,Division 5,Top 100 Cup,Top 100 Shield,Youth Cup,Youth Shield,World Club Cup,World Club Shield,Charity Shield,Division 2 Play-off,Division 3 Play-off,Division 4 Play-off,Division 5 Play-off,SMFA Super Cup,SMFA Champions Cup,SMFA Shield,Youth Spoon,World Cup
1,Joe Jordan,Stephen Partington,Brian Clough,David Inglis,son of pluto (forum),David The Fox Piero,Roy keane,Doc,,,,,André Guerra,john vinicombe,Anders Dahlby,secasiu calin-mihai,,Gursimran Brar,James Mckenzie,,
2,Scott Mckenzie,Lee Reynolds,michael h,Mike Scallotti,Andrew Kelly,Gursimran Brar,feargal Hickey,DP 91,,Roy keane,,Joe Jordan,Gary Naylor,Hussain Saif,Attila Olah,Josh McMillan,Gursimran Brar,Joe Jordan,James Mckenzie,,Lee Reynolds
3,Scott Mckenzie,David The Fox Piero,Rahul W,Andrew Kelly,Alex McLean,Roy keane,André Guerra,Stephen Partington,,Rob Ryan,,Scott Mckenzie,L H,Mike Scallotti,Feargal Hickey,jess jobe,James Mckenzie,Roy keane,David Senior,,Roy Keane
4,Gursimran Brar,David Inglis,Mister TRX,André Libras-Boas,Damian Colautti,Gordon 'Gino' Kinnear,Gursimran Brar,James McKenzie,,Gursimran Brar,,Scott Mckenzie,michael h,Wayne Bullough,Marco De Angelis,ruts66 ...,Roy keane,Gursimran Brar,son of pluto (forum),,Sir Stephen Beddows (God)
5,Gursimran Brar,Andrew Kelly,Fred Dodger,ruts66 ...,mark stewart,DP 91,DP 91,David Senior,,James McKenzie,,Gursimran Brar,Wayne Bullough,Bob «Groucho» Sal,Béla Guttmann,Dario Saviano,son of pluto (forum),Gursimran Brar,Gary Naylor,,Andrew Kelly
6,Scott Mckenzie,Attila Olah,Miguel Salgado,mark stewart,André Libras-Boas,André Guerra,DP 91,ruts66 ...,David Senior,ruts66 ...,,DP 91,IanD,David Senior,golden bear,Doug Earle,Gary Naylor,ruts66 ...,Rob Ryan,,Heath Brown
7,Scott Mckenzie,Robérto Downinho,mark stewart,Mike Scallotti,Mister TRX,ruts66 ...,DP 91,DP 91,ruts66 ...,Sir Stephen Beddows,David Senior,Scott Mckenzie,David Senior,RJ Alston,André Libras-Boas,Dr. Martínez,ruts66 ...,ruts66 ...,Doc,Gareth Crisp,Bob «Groucho» Sal
8,ruts66 ...,michael h,Mike Scallotti,Dr. Martinez,Wayne Bullough,Mark Gardiner,Walter Gogh,Alex McLean,Mark Stewart,,,Scott Mckenzie,Mark Stewart,Phill walters,Lee Reynolds,Davy Vandendriessche,ruts66 ...,ruts66 ...,Greg Owen,,Sir Stephen Beddows (God)
9,Scott Mckenzie,paddy d,nathan prince,Mister TRX,Norman Little,mark stewart,kevin mcgregor,Mark Phelps,Mike Scallotti,,,Mike Scallotti,Jay Jones,Niall Taylor,Dan Wallace,Nick Wheels,Mike Scallotti,DP 91,James Foster,,Andrew Kelly
10,Scott Mckenzie,James Foster,Rahul W,Neil Frankland,Paul Thompson,DP 91,Doug Earle,Bob «Groucho» Sal,DP 91,Scott Mckenzie,Mark Gardiner,Scott Mckenzie,Doc,Dan Wallace,Feargal Hickey,David Inglis,James Foster,Scott Mckenzie,Sir Stephen Beddows,,Davy Vandendriessche
11,Scott Mckenzie,Robérto Downinho,Dario Saviano,Nick Justice,Joao Alves,André Libras-Boas,Paul Thompson,Frank Hirst,Gursimran Brar,Mister TRX,Gursimran Brar,DP 91,Paul Thompson,ruts66 ...,Davy Vandendriessche,Nuno Bento,Scott Mckenzie,Andrew Kelly,Heath Brown,,Heath Brown
12,Scott Mckenzie,André Libras-Boas,RJ Alston,Chris Baggio,Walter Gogh,Bojan H,Mike Scallotti,Alex McLean,,Dan Wallace,Attila Olah,Scott Mckenzie,Dan Wallace,Attila Olah,Mark Deadman,paddy d,Heath Brown,Scott Mckenzie,Andrew Kelly,,Greg Owen
13,James Mckenzie,Heath Brown,Dale Bowers™,paddy d,The Godfather,Regan Thompson,André Guerra,Frank Hirst,David Marsden,Andrew Kelly,Ricardo Ferreira,Scott Mckenzie,Mark Deadman,Liam Pigott,Roopak Rajan,⭐️Ken Keeley⭐️,Andrew Kelly,N Seats,Andrew Kelly,,??? ???
14,James Mckenzie,N Seats,Alessandro Ioli,The Godfather,kevin mcgregor,André Guerra,Andrew Kelly,DP 91,ruts66 ...,James Mckenzie,Mister TRX,James Mckenzie,Alex*** Borel,paddy d,Nuno Bento,J. Walker,Andrew Kelly,Andrew Kelly,Dan Wallace,,Dr. Martínez
15,Dan Wallace,André Libras-Boas,Adam,Nuno Marques,Ash L,Mark Phelps,Andrew Kelly,Alex McLean,Doug Earle,Heath Brown,Mister TRX,André Guerra,Sebastian Campillo,Ken Keeley,Kevin Mcgregor,Sir Stephen Beddows,Andrew Kelly,Dan Wallace,Heath Brown,,Heath Brown
16,Dan Wallace,paddy d,Mister TRX,Niall Taylor,Roberto Downinho,Marek,Heath Brown,Heath Brown,Mister TRX,Dan Wallace,James Mckenzie,Dan Wallace,Mike T,Joao Alves,Sir Stephen Beddows,Josh McMillan,Dan Wallace,Dan Wallace,Heath Brown,,Chris Mackenzie
17,James Mckenzie,Adam,kevin mcgregor,andy vh,Gursimran Brar,Bojan H,André Libras-Boas,Salvatore Zerbo,Heath Brown,Andrew Kelly,James Mckenzie,Dan Wallace,RJ Alston,Miguel Salgado,Doug Earle,Gyan the Cat,Heath Brown,Dan Wallace,glen mullan,,Dan Wallace
18,Heath Brown,kevin mcgregor,Niall Taylor,Scott Mckenzie,Golden Bear,André Libras-Boas,Gav Harmer,ruts66 ...,Regan Thompson,Heath Brown,André Libras-Boas,Bojan H,Miguel Salgado,Jay Jones,Gyan the Cat,Attilio Bonnici,Dan Wallace,Dan Wallace,Dario Saviano,,Chris Mackenzie
19,James Mckenzie,Doug Earle,Joao Alves,Marco G,Andy Martin,Paul Masters,Bojan H,Salvatore Zerbo,Giuseppe Trovato,Heath Brown,Mister TRX,André Libras-Boas,Glen Mullan,Niall Taylor,Neil Frankland,"Jena ""Snake"" Plissken",Dan Wallace,Heath Brown,Doc,,Dan Wallace
20,André Libras-Boas,The Godfather,Salvatore Zerbo,Gursimran Brar,Attila Olah,André Guerra,Andrew Bailey,Salvatore Zerbo,Gursimran Brar,Andrew Bailey,Dan Wallace,James Mckenzie,paddy d,Hugo Costa,Jimmy Gouldie,Mister TRX,Heath Brown,Dan Wallace,André Libras-Boas,,Alejandro Virgilio
21,James Mckenzie,Scott Mckenzie,Gursimran Brar,Carl Martin,Daniel Wythe,Andrew Bailey,Gianluca Ghio,Salvatore Zerbo,Andrew Bailey,Adam,Scott Mckenzie,André Guerra,simon thomas,Jay Jones,Dave Oz Osbourne,Davy Vandendriessche,André Libras-Boas,André Libras-Boas,Gregg Robinson,,Dan Wallace
22,André Libras-Boas,Alex McLean,Andy VH,Davy Vandendriessche,Dan Wallace,Carl Martin,André Libras-Boas,Salvatore Zerbo,Doug Earle,Adam,Chris Mackenzie,Andrew Bailey,Regan Thompson,David Marsden,Ross Falconer,Josh McMillan,André Libras-Boas,James Mckenzie,Bojan H,,Dan Wallace
23,André Libras-Boas,Gyan the Cat ,Dave Oz Osbourne,Attila Olah,Doc ,André Libras-Boas,Bojan H,Doug Earle ,Gav Harmer ,Dario Saviano ,Andrew Kelly ,André Libras-Boas,Gursimran Brar,Sir Stephen Beddows ,Josh McMillan ,Chris Taylor ,Bojan H,Scott Mckenzie ,Adam,,Dan Wallace 
